id,user_id,mensaje
137,5492610000137,cuanto tiempo de garantia tienen las notebooks?
138,5492610000138,sos un bot o una persona?
139,5492610000139,hola queria saber si les llego mi transferencia
140,5492610000140,queria saber si mi compra quedo registrada
141,5492610000141,como se calcula el costo de envio?
142,5492610000142,quien me esta respondiendo?
143,5492610000143,me podrian pasar el telefono de atencion? necesito reclamar algo urgente
144,5492610000144,tengo el codigo de seguimiento pero no figura nada en la web del correo
145,5492610000145,puedo pagar contra entrega?
146,5492610000146,"nada, ya lo resolvi, gracias igual"
147,5492610000147,felices fiestas!
148,5492610000148,como estan?
149,5492610000149,hola buenas
150,5492610000150,me llego el paquete pero adentro habia otra cosa
